PdfType: error
Format: lhagrid1
---
   3.00000E-03   3.53721E-03   4.07442E-03   4.73365E-03   5.39288E-03   6.18862E-03   6.98435E-03   7.93146E-03   8.87856E-03   9.99228E-03   1.11060E-02   1.24019E-02   1.36979E-02   1.51920E-02   1.66861E-02   1.83946E-02   2.01031E-02   2.20427E-02   2.39822E-02   2.61697E-02   2.83572E-02   3.08097E-02   3.32623E-02   3.59974E-02   3.87326E-02   4.17680E-02   4.48034E-02   4.81572E-02   5.15109E-02   5.52012E-02   5.88915E-02   6.29370E-02   6.69824E-02   7.14017E-02   7.58209E-02   8.06331E-02   8.54452E-02   9.06694E-02   9.58936E-02   1.01549E-01   1.07205E-01   1.13312E-01   1.19419E-01   1.25997E-01   1.32576E-01   1.39645E-01   1.46714E-01   1.54295E-01   1.61876E-01   1.69989E-01   1.78102E-01   1.86768E-01   1.95434E-01   2.04674E-01   2.13913E-01   2.23748E-01   2.33582E-01   2.44033E-01   2.54483E-01   2.65572E-01   2.76660E-01   2.88408E-01   3.00155E-01   3.12584E-01   3.25012E-01   3.38144E-01   3.51276E-01   3.65134E-01   3.78991E-01   3.93596E-01   4.08201E-01   4.23576E-01   4.38952E-01   4.55120E-01   4.71288E-01   4.88272E-01   5.05257E-01   5.23080E-01   5.40903E-01   5.59588E-01   5.78273E-01   5.97844E-01   6.17414E-01   6.37894E-01   6.58374E-01   6.79786E-01   7.01198E-01   7.23566E-01   7.45935E-01   7.69284E-01   7.92633E-01   8.16986E-01   8.41340E-01   8.66722E-01   8.92104E-01   9.18539E-01   9.44974E-01   9.72487E-01   1.00000E+00
   4.00000E+00   5.00000E+00   5.67086E+00   6.34173E+00   7.27420E+00   8.20668E+00   9.53032E+00   1.08539E+01   1.27761E+01   1.46983E+01   1.75595E+01   2.04208E+01   2.47956E+01   2.91705E+01   3.60571E+01   4.29437E+01   5.41320E+01   6.53202E+01   8.41303E+01   1.02940E+02   1.35762E+02   1.68583E+02   2.28209E+02   2.87835E+02   4.01000E+02   5.14165E+02   7.39386E+02   9.64607E+02   1.43654E+03   1.90847E+03   2.95424E+03   4.00000E+03
 -5 -4 -3 -2 -1 21 1 2 3 4 5
   4.97842E+00   3.49255E+00   1.27380E-01   7.27036E-02   6.43908E-02  -2.40640E-02   7.27099E-02   5.65438E-02   1.27380E-01   3.49255E+00   4.97842E+00
   4.93735E+00   3.44040E+00   1.34100E-01   7.58610E-02   7.23483E-02   7.57941E-02   7.58610E-02   6.34798E-02   1.34100E-01   3.44040E+00   4.93735E+00
   4.92763E+00   3.42527E+00   1.50206E-01   9.00247E-02   8.91623E-02   1.55412E-01   9.00215E-02   7.97342E-02   1.50206E-01   3.42527E+00   4.92763E+00
   4.92610E+00   3.41938E+00   1.70972E-01   1.09105E-01   1.10560E-01   2.37881E-01   1.09099E-01   1.00645E-01   1.70972E-01   3.41938E+00   4.92610E+00
   4.93239E+00   3.42083E+00   2.03841E-01   1.39954E-01   1.44208E-01   3.52083E-01   1.39945E-01   1.33708E-01   2.03841E-01   3.42083E+00   4.93239E+00
   4.94457E+00   3.42918E+00   2.38728E-01   1.73106E-01   1.79779E-01   4.62671E-01   1.73095E-01   1.68775E-01   2.38728E-01   3.42918E+00   4.94457E+00
   4.96730E+00   3.44766E+00   2.88801E-01   2.21082E-01   2.30701E-01   6.10885E-01   2.21068E-01   2.19086E-01   2.88801E-01   3.44766E+00   4.96730E+00
   4.99315E+00   3.47021E+00   3.37740E-01   2.68242E-01   2.80376E-01   7.48162E-01   2.68225E-01   2.68242E-01   3.37740E-01   3.47021E+00   4.99315E+00
   5.03252E+00   3.50592E+00   4.05205E-01   3.33533E-01   3.48758E-01   9.29200E-01   3.33514E-01   3.35989E-01   4.05205E-01   3.50592E+00   5.03252E+00
   5.07176E+00   3.54239E+00   4.67879E-01   3.94386E-01   4.12217E-01   1.09120E+00   3.94365E-01   3.98913E-01   4.67879E-01   3.54239E+00   5.07176E+00
   5.12770E+00   3.59527E+00   5.52678E-01   4.76936E-01   4.98003E-01   1.30331E+00   4.76913E-01   4.84039E-01   5.52678E-01   3.59527E+00   5.12770E+00
   5.17981E+00   3.64514E+00   6.28536E-01   5.50937E-01   5.74692E-01   1.48760E+00   5.50912E-01   5.60182E-01   6.28536E-01   3.64514E+00   5.17981E+00
